contact_id,message,dir,emotion
user_43,My heart is filled with happiness honestly,sent,joy
user_44,This is the best day ever!,sent,joy
user_45,This is the best day ever!!!,sent,joy
user_46,"Listen, This is the best day ever!",sent,joy
user_47,"Hey, This is the best day very ever! for real",sent,joy
user_48,"I have to tell you, This is the best day ever! right now",sent,joy
user_49,This is incredibly the best day ever!...,sent,joy
user_50,"Just so you know, This is the best day ever! right now",sent,joy
user_51,This is the best day ever! seriously,sent,joy
user_52,"I have to tell you, This totally is the best day ever!",sent,joy
user_53,"Hey, This is the best day ever! at the moment",sent,joy
user_54,"Just so you know, This is the best really day ever! for real",sent,joy
user_55,I'm overjoyed,sent,joy
user_56,"To be honest, I'm overjoyed...",sent,joy
user_57,"You know what, I'm overjoyed seriously",sent,joy
user_58,"I just want to say, I'm overjoyed!",sent,joy
user_59,"I have to tell you, I'm overjoyed at the moment",sent,joy
user_60,"Just so you know, I'm overjoyed!",sent,joy
user_61,"Just so you know, I'm overjoyed",sent,joy
user_62,"You know what, I'm overjoyed at the moment",sent,joy
user_63,"Hey, I'm overjoyed!",sent,joy
user_64,"I just want to say, I'm overjoyed",sent,joy
user_65,"I just want to say, I'm overjoyed right now",sent,joy
user_66,What a delightful surprise,sent,joy
user_67,"Honestly, What a delightful surprise right now",sent,joy
user_68,"Just so you know, What a absolutely delightful surprise",sent,joy
user_69,"Just so you know, What a completely delightful surprise seriously",sent,joy
user_70,"I just want to say, What a delightful incredibly surprise at the moment",sent,joy
user_71,"To be honest, What a delightful surprise today",sent,joy
user_72,"Just so you know, What a delightful surprise today",sent,joy
user_73,"Honestly, What so a delightful surprise today",sent,joy
user_74,"Listen, What a delightful surprise right now",sent,joy
user_75,"You know what, What a delightful surprise seriously",sent,joy
user_76,"Hey, What a delightful surprise for real",sent,joy
user_77,I'm beaming with joy,sent,joy
user_78,"Just so you know, I'm beaming with truly joy for real",sent,joy
user_79,"I have to tell you, I'm beaming very with joy for real",sent,joy
user_80,"You know what, I'm beaming with joy",sent,joy
user_81,"Just so you know, I'm beaming so with joy for real",sent,joy
user_82,"Hey, I'm beaming totally with joy today",sent,joy
user_83,"You know what, I'm beaming very with joy...",sent,joy
user_84,"To be honest, I'm beaming totally with joy!!",sent,joy
user_85,"To be honest, I'm beaming with joy at the moment",sent,joy
user_86,I'm beaming with so joy...,sent,joy
user_87,I'm beaming with joy right now,sent,joy
user_88,This makes my heart sing,sent,joy
user_89,"Listen, This makes my heart sing honestly",sent,joy
user_90,"I have to tell you, This makes my utterly heart sing...",sent,joy
user_91,"To be honest, This makes my heart sing...",sent,joy
user_92,"You know what, This makes my heart sing honestly",sent,joy
user_93,"Just so you know, This makes my heart sing honestly",sent,joy
user_94,"I just want to say, This makes my heart incredibly sing today",sent,joy
user_95,"Listen, This makes utterly my heart sing...",sent,joy
user_96,"Honestly, This makes my heart sing...",sent,joy
user_97,"Hey, This makes truly my heart sing at the moment",sent,joy
user_98,"Listen, This makes my heart sing right now",sent,joy
user_99,I couldn't be happier,sent,joy
user_100,I couldn't be utterly happier for real,sent,joy
user_101,"You know what, I couldn't be happier!!",sent,joy
user_102,"Just so you know, I couldn't be very happier for real",sent,joy
user_103,"Hey, I couldn't be happier",sent,joy
user_104,I couldn't be happier seriously,sent,joy
user_105,"I have to tell you, I couldn't be happier at the moment",sent,joy
user_106,"To be honest, I totally couldn't be happier for real",sent,joy
user_107,"Hey, I couldn't be happier",sent,joy
user_108,"Hey, I couldn't be happier for real",sent,joy
user_109,"Hey, I couldn't incredibly be happier!!",sent,joy
user_110,Pure happiness,sent,joy
user_111,"Hey, Pure happiness at the moment",sent,joy
user_112,"I just want to say, Pure happiness seriously",sent,joy
user_113,"Listen, Pure happiness for real",sent,joy
user_114,"You know what, Pure happiness seriously",sent,joy
user_115,"I have to tell you, Pure happiness seriously",sent,joy
user_116,"Hey, Pure happiness!",sent,joy
user_117,"Just so you know, Pure happiness!!",sent,joy
user_118,"I have to tell you, Pure happiness for real",sent,joy
user_119,"Listen, Pure happiness!!",sent,joy
user_120,"I just want to say, Pure happiness honestly",sent,joy
user_121,Feeling on top of the world,sent,joy
user_122,"I just want to say, Feeling on top of the world today",sent,joy
user_123,"You know what, Feeling on top of the world!",sent,joy
user_124,"Honestly, Feeling on top of the world right now",sent,joy
user_125,"Hey, Feeling on top of the world!",sent,joy
user_126,"You know what, Feeling on top of the world...",sent,joy
user_127,"Listen, Feeling on top of the truly world...",sent,joy
user_128,"Hey, Feeling on top of completely the world today",sent,joy
user_129,Feeling on top of the world,sent,joy
user_130,"I have to tell you, Feeling on top of the world for real",sent,joy
user_131,"Just so you know, Feeling on top extremely of the world seriously",sent,joy
user_132,This is amazing news,sent,joy
user_133,"You know what, This so is amazing news seriously",sent,joy
user_134,"You know what, This is amazing news!",sent,joy
user_135,"To be honest, This is amazing news right now",sent,joy
user_136,"To be honest, This is amazing news honestly",sent,joy
user_137,"I just want to say, This so is amazing news today",sent,joy
user_138,"Listen, This is amazing news!",sent,joy
user_139,"Hey, This is amazing really news today",sent,joy
user_140,"I have to tell you, This is amazing news today",sent,joy
user_141,"Just so you know, This is amazing news",sent,joy
user_142,"You know what, This is amazing news at the moment",sent,joy
user_143,I'm thrilled beyond words,sent,joy
user_144,"I just want to say, I'm thrilled beyond words right now",sent,joy
user_145,"Honestly, I'm thrilled beyond extremely words right now",sent,joy
user_146,"Hey, I'm thrilled beyond words seriously",sent,joy
user_147,"I have to tell you, I'm completely thrilled beyond words seriously",sent,joy
user_148,I'm thrilled beyond words for real,sent,joy
user_149,"Hey, I'm thrilled beyond words honestly",sent,joy
user_150,"To be honest, I'm thrilled truly beyond words for real",sent,joy
user_151,"You know what, I'm thrilled beyond words",sent,joy
user_152,I'm thrilled beyond words!,sent,joy
user_153,"You know what, I'm thrilled beyond words at the moment",sent,joy
user_154,My cup runneth over,sent,joy
user_155,"I have to tell you, My cup incredibly runneth over right now",sent,joy
user_156,"I have to tell you, My cup runneth over at the moment",sent,joy
user_157,"Honestly, My cup runneth so over...",sent,joy
user_158,"Hey, My cup runneth over for real",sent,joy
user_159,"I have to tell you, My cup runneth absolutely over seriously",sent,joy
user_160,"I have to tell you, My truly cup runneth over today",sent,joy
user_161,"Just so you know, My cup absolutely runneth over seriously",sent,joy
user_162,"I just want to say, My cup runneth over today",sent,joy
user_163,My cup runneth extremely over,sent,joy
user_164,"Hey, My really cup runneth over!",sent,joy
user_165,Dancing with joy,sent,joy
user_166,"Hey, Dancing absolutely with joy today",sent,joy
user_167,"I just want to say, Dancing with incredibly joy today",sent,joy
user_168,"Just so you know, Dancing with joy seriously",sent,joy
user_169,"Listen, Dancing with joy honestly",sent,joy
user_170,"Honestly, Dancing with extremely joy",sent,joy
user_171,"You know what, Dancing with joy for real",sent,joy
user_172,"To be honest, Dancing with incredibly joy",sent,joy
user_173,"Honestly, Dancing very with joy for real",sent,joy
user_174,"You know what, Dancing with so joy...",sent,joy
user_175,"Just so you know, Dancing incredibly with joy honestly",sent,joy
user_176,Jumping for joy,sent,joy
user_177,"Honestly, Jumping for joy seriously",sent,joy
user_178,Jumping for so joy,sent,joy
user_179,"Just so you know, Jumping for joy!!",sent,joy
user_180,"Honestly, Jumping for joy today",sent,joy
user_181,"I just want to say, Jumping for joy!!",sent,joy
user_182,"You know what, Jumping for joy seriously",sent,joy
user_183,Jumping for joy today,sent,joy
user_184,"Hey, Jumping for joy for real",sent,joy
user_185,"Just so you know, Jumping for completely joy...",sent,joy
user_186,"I just want to say, Jumping extremely for joy!",sent,joy
user_187,Bursting with happiness,sent,joy
user_188,"Hey, Bursting with happiness for real",sent,joy
user_189,"I just want to say, Bursting completely with happiness for real",sent,joy
user_190,"I just want to say, Bursting with happiness!",sent,joy
user_191,"Honestly, Bursting with completely happiness for real",sent,joy
user_192,Bursting with happiness!,sent,joy
user_193,"Hey, Bursting with happiness seriously",sent,joy
user_194,"Just so you know, Bursting with happiness honestly",sent,joy
user_195,"Honestly, Bursting very with happiness!!",sent,joy
user_196,"I have to tell you, Bursting with happiness...",sent,joy
user_197,"Honestly, Bursting with really happiness seriously",sent,joy
user_198,Cloud nine feeling,sent,joy
user_199,"Listen, Cloud really nine feeling right now",sent,joy
user_200,"Just so you know, Cloud absolutely nine feeling seriously",sent,joy
user_201,Cloud very nine feeling,sent,joy
user_202,Cloud nine feeling,sent,joy
user_203,"Just so you know, Cloud nine feeling honestly",sent,joy
user_204,Cloud totally nine feeling right now,sent,joy
user_205,"I have to tell you, Cloud nine feeling seriously",sent,joy
user_206,"To be honest, Cloud totally nine feeling right now",sent,joy
user_207,"Just so you know, Cloud completely nine feeling!",sent,joy
user_208,"Honestly, Cloud nine so feeling",sent,joy
user_209,Everything is perfect,sent,joy
user_210,"To be honest, Everything is perfect",sent,joy
user_211,"To be honest, Everything is utterly perfect seriously",sent,joy
user_212,"Just so you know, Everything is perfect honestly",sent,joy
user_213,"I just want to say, Everything absolutely is perfect today",sent,joy
user_214,"You know what, Everything incredibly is perfect right now",sent,joy
user_215,"To be honest, Everything is totally perfect!",sent,joy
user_216,"You know what, Everything is perfect today",sent,joy
user_217,"Honestly, Everything very is perfect honestly",sent,joy
user_218,"I have to tell you, Everything is perfect right now",sent,joy
user_219,"To be honest, Everything is perfect...",sent,joy
user_220,Life is beautiful,sent,joy
user_221,"I just want to say, Life is beautiful honestly",sent,joy
user_222,"Just so you know, Life completely is beautiful honestly",sent,joy
user_223,"Listen, Life is incredibly beautiful honestly",sent,joy
user_224,"You know what, Life totally is beautiful right now",sent,joy
user_225,"Listen, Life is beautiful at the moment",sent,joy
user_226,"Listen, Life completely is beautiful...",sent,joy
user_227,"To be honest, Life absolutely is beautiful for real",sent,joy
user_228,"To be honest, Life very is beautiful honestly",sent,joy
user_229,"Hey, Life is beautiful today",sent,joy
user_230,"Honestly, Life is beautiful for real",sent,joy
user_231,Smiling from ear to ear,sent,joy
user_232,"I just want to say, Smiling from completely ear to ear for real",sent,joy
user_233,"Listen, Smiling from ear to ear today",sent,joy
user_234,"I just want to say, Smiling from ear to ear for real",sent,joy
user_235,"I just want to say, Smiling from ear to ear",sent,joy
user_236,Smiling from absolutely ear to ear!,sent,joy
user_237,"Listen, Smiling from ear to ear...",sent,joy
user_238,"Listen, Smiling extremely from ear to ear",sent,joy
user_239,"Just so you know, Smiling from ear to ear seriously",sent,joy
user_240,"To be honest, Smiling from ear to ear for real",sent,joy
user_241,"Honestly, Smiling from extremely ear to ear right now",sent,joy
user_242,This made my day,sent,joy
user_243,"Just so you know, This made my day",sent,joy
user_244,"I just want to say, This made my very day...",sent,joy
user_245,This made my day seriously,sent,joy
user_246,"I have to tell you, This made my day!",sent,joy
user_247,This made my day,sent,joy
user_248,"You know what, This made my incredibly day honestly",sent,joy
user_249,"To be honest, This completely made my day",sent,joy
user_250,"I just want to say, This made my day today",sent,joy
user_251,"Honestly, This made completely my day!",sent,joy
user_252,This made incredibly my day!,sent,joy
user_253,So blessed and happy,sent,joy
user_254,So blessed and happy right now,sent,joy
user_255,"You know what, So blessed and happy honestly",sent,joy
user_256,"I have to tell you, So blessed and happy right now",sent,joy
user_257,"I just want to say, So blessed and happy right now",sent,joy
user_258,So completely blessed and happy...,sent,joy
user_259,"You know what, So blessed and happy!",sent,joy
user_260,"Listen, So blessed and happy",sent,joy
user_261,"Honestly, So blessed and happy right now",sent,joy
user_262,"I just want to say, So blessed and so happy...",sent,joy
user_263,"You know what, So extremely blessed and happy today",sent,joy
user_264,Feeling fantastic,sent,joy
user_265,"I just want to say, Feeling fantastic today",sent,joy
user_266,Feeling fantastic right now,sent,joy
user_267,"Honestly, Feeling fantastic right now",sent,joy
user_268,"Hey, Feeling fantastic!!",sent,joy
user_269,"Honestly, Feeling fantastic seriously",sent,joy
user_270,"You know what, Feeling fantastic for real",sent,joy
user_271,"Just so you know, Feeling fantastic!!",sent,joy
user_272,"To be honest, Feeling fantastic!",sent,joy
user_273,"I just want to say, Feeling fantastic seriously",sent,joy
user_274,"To be honest, Feeling fantastic right now",sent,joy
user_275,Absolutely ecstatic,sent,joy
user_276,"Honestly, Absolutely ecstatic for real",sent,joy
user_277,"To be honest, Absolutely ecstatic!",sent,joy
user_278,"You know what, Absolutely ecstatic for real",sent,joy
user_279,"To be honest, Absolutely ecstatic seriously",sent,joy
user_280,"Listen, Absolutely ecstatic",sent,joy
user_281,"Honestly, Absolutely ecstatic right now",sent,joy
user_282,"To be honest, Absolutely ecstatic",sent,joy
user_283,"Just so you know, Absolutely ecstatic honestly",sent,joy
user_284,"Listen, Absolutely ecstatic at the moment",sent,joy
user_285,"To be honest, Absolutely ecstatic!",sent,joy
user_286,Over the moon with joy,sent,joy
user_287,"Honestly, Over the moon with joy right now",sent,joy
user_288,"I just want to say, Over the moon with joy",sent,joy
user_289,Over the moon with joy for real,sent,joy
user_290,"I just want to say, Over the moon with joy for real",sent,joy
user_291,"Honestly, Over the truly moon with joy!",sent,joy
user_292,"Listen, Over the moon really with joy for real",sent,joy
user_293,"I just want to say, Over the moon with joy right now",sent,joy
user_294,"Just so you know, Over the moon with joy right now",sent,joy
user_295,Over the moon with joy!!,sent,joy
user_296,"Hey, Over the moon with joy at the moment",sent,joy
user_297,Radiating happiness,sent,joy
user_298,"I just want to say, Radiating happiness seriously",sent,joy
user_299,"You know what, Radiating happiness honestly",sent,joy
user_300,"To be honest, Radiating happiness",sent,joy
user_301,Radiating happiness!,sent,joy
user_302,"To be honest, Radiating happiness!",sent,joy
user_303,"Honestly, Radiating happiness today",sent,joy
user_304,"You know what, Radiating happiness seriously",sent,joy
user_305,"Hey, Radiating happiness...",sent,joy
user_306,"I just want to say, Radiating happiness for real",sent,joy
user_307,"You know what, Radiating happiness today",sent,joy
user_308,Pure bliss,sent,joy
user_309,"Listen, Pure bliss right now",sent,joy
user_310,"Hey, Pure bliss at the moment",sent,joy
user_311,"Honestly, Pure bliss today",sent,joy
user_312,Pure bliss...,sent,joy
user_313,"Just so you know, Pure bliss right now",sent,joy
user_314,Pure bliss at the moment,sent,joy
user_315,"Hey, Pure bliss seriously",sent,joy
user_316,"To be honest, Pure bliss",sent,joy
user_317,"Just so you know, Pure bliss for real",sent,joy
user_318,"Just so you know, Pure bliss right now",sent,joy
user_319,Heaven on earth,sent,joy
user_320,Heaven on totally earth for real,sent,joy
user_321,"I have to tell you, Heaven incredibly on earth!",sent,joy
user_322,"You know what, Heaven completely on earth!!",sent,joy
user_323,"Listen, Heaven on earth for real",sent,joy
user_324,"Just so you know, Heaven utterly on earth",sent,joy
user_325,"I have to tell you, Heaven completely on earth right now",sent,joy
user_326,"Listen, Heaven on earth!!",sent,joy
user_327,"You know what, Heaven on very earth seriously",sent,joy
user_328,"Honestly, Heaven completely on earth...",sent,joy
user_329,"Honestly, Heaven on really earth right now",sent,joy
user_330,Living my best life,sent,joy
user_331,"I just want to say, Living my best life!!",sent,joy
user_332,Living my best life honestly,sent,joy
user_333,"To be honest, Living completely my best life today",sent,joy
user_334,"To be honest, Living my best really life...",sent,joy
user_335,"To be honest, Living truly my best life",sent,joy
user_336,"You know what, Living very my best life!!",sent,joy
user_337,"I have to tell you, Living my best very life right now",sent,joy
user_338,"To be honest, Living my best life seriously",sent,joy
user_339,"I have to tell you, Living really my best life at the moment",sent,joy
user_340,"Hey, Living my best really life!",sent,joy
user_341,Couldn't ask for more,sent,joy
user_342,"Listen, Couldn't ask for incredibly more!!",sent,joy
user_343,Couldn't ask for more...,sent,joy
user_344,"Honestly, Couldn't ask truly for more!!",sent,joy
user_345,"I have to tell you, Couldn't totally ask for more",sent,joy
user_346,"Honestly, Couldn't ask for really more right now",sent,joy
user_347,"Just so you know, Couldn't ask for truly more!",sent,joy
user_348,"You know what, Couldn't ask for more!!",sent,joy
user_349,"I have to tell you, Couldn't ask for more!!",sent,joy
user_350,Couldn't ask for more,sent,joy
user_351,Couldn't ask utterly for more at the moment,sent,joy
user_352,Dreams coming true,sent,joy
user_353,"Just so you know, Dreams coming true",sent,joy
user_354,"I have to tell you, Dreams coming true right now",sent,joy
user_355,Dreams really coming true...,sent,joy
user_356,Dreams coming true,sent,joy
user_357,"Hey, Dreams coming true!!",sent,joy
user_358,"I just want to say, Dreams coming true seriously",sent,joy
user_359,"Hey, Dreams totally coming true",sent,joy
user_360,"I have to tell you, Dreams coming extremely true",sent,joy
user_361,"To be honest, Dreams coming true for real",sent,joy
user_362,"You know what, Dreams coming utterly true...",sent,joy
user_363,Pinch me I'm dreaming,sent,joy
user_364,Pinch me I'm extremely dreaming right now,sent,joy
user_365,"I have to tell you, Pinch totally me I'm dreaming...",sent,joy
user_366,"I just want to say, Pinch totally me I'm dreaming honestly",sent,joy
user_367,"I just want to say, Pinch me completely I'm dreaming right now",sent,joy
user_368,"I have to tell you, Pinch me I'm completely dreaming",sent,joy
user_369,"I have to tell you, Pinch me I'm dreaming right now",sent,joy
user_370,"Just so you know, Pinch me I'm dreaming for real",sent,joy
user_371,"Hey, Pinch me I'm dreaming seriously",sent,joy
user_372,"Just so you know, Pinch me I'm extremely dreaming!!",sent,joy
user_373,"I just want to say, Pinch me I'm dreaming",sent,joy
user_374,This is incredible,sent,joy
user_375,"I have to tell you, This is really incredible!",sent,joy
user_376,"To be honest, This really is incredible!",sent,joy
user_377,"Hey, This is incredible!",sent,joy
user_378,"To be honest, This is incredible for real",sent,joy
user_379,"Listen, This is incredibly incredible seriously",sent,joy
user_380,"I just want to say, This is totally incredible...",sent,joy
user_381,"Listen, This is incredible today",sent,joy
user_382,"Just so you know, This is incredible today",sent,joy
user_383,"Honestly, This incredibly is incredible honestly",sent,joy
user_384,This is absolutely incredible honestly,sent,joy
user_385,Feeling blessed,sent,joy
user_386,"Honestly, Feeling blessed...",sent,joy
user_387,"Hey, Feeling blessed...",sent,joy
user_388,"Honestly, Feeling blessed right now",sent,joy
user_389,"Listen, Feeling blessed at the moment",sent,joy
user_390,"I just want to say, Feeling blessed right now",sent,joy
user_391,"Honestly, Feeling blessed...",sent,joy
user_392,"To be honest, Feeling blessed!!",sent,joy
user_393,"To be honest, Feeling blessed...",sent,joy
user_394,"I just want to say, Feeling blessed today",sent,joy
user_395,Feeling blessed at the moment,sent,joy
user_396,Grateful and joyful,sent,joy
user_397,"I have to tell you, Grateful and joyful today",sent,joy
user_398,"I just want to say, Grateful and joyful right now",sent,joy
user_399,"Listen, Grateful and joyful at the moment",sent,joy
user_400,"I have to tell you, Grateful and joyful today",sent,joy
user_401,"Hey, Grateful extremely and joyful at the moment",sent,joy
user_402,"You know what, Grateful and joyful honestly",sent,joy
user_403,"I have to tell you, Grateful and really joyful",sent,joy
user_404,"To be honest, Grateful utterly and joyful...",sent,joy
user_405,"To be honest, Grateful very and joyful",sent,joy
user_406,"Listen, Grateful and incredibly joyful for real",sent,joy
user_407,Heart full of joy,sent,joy
user_408,"You know what, Heart extremely full of joy right now",sent,joy
user_409,"You know what, Heart full of joy today",sent,joy
user_410,"Just so you know, Heart full of joy today",sent,joy
user_411,Heart full of absolutely joy honestly,sent,joy
user_412,Heart full incredibly of joy!!,sent,joy
user_413,"I have to tell you, Heart absolutely full of joy",sent,joy
user_414,"Listen, Heart extremely full of joy at the moment",sent,joy
user_415,"Hey, Heart full of joy...",sent,joy
user_416,"Listen, Heart full of joy today",sent,joy
user_417,"Listen, Heart really full of joy at the moment",sent,joy
user_418,Sunshine in my soul,sent,joy
user_419,"Honestly, Sunshine in my soul at the moment",sent,joy
user_420,"You know what, Sunshine in my completely soul!",sent,joy
user_421,"I have to tell you, Sunshine in absolutely my soul seriously",sent,joy
user_422,"Honestly, Sunshine in my soul!",sent,joy
user_423,"I just want to say, Sunshine in really my soul!!",sent,joy
user_424,"I just want to say, Sunshine in my soul!!",sent,joy
user_425,"To be honest, Sunshine in my soul!",sent,joy
user_426,"Just so you know, Sunshine completely in my soul right now",sent,joy
user_427,"I just want to say, Sunshine utterly in my soul at the moment",sent,joy
user_428,"You know what, Sunshine in so my soul!",sent,joy
user_429,Walking on air,sent,joy
user_430,"You know what, Walking on air...",sent,joy
user_431,"Just so you know, Walking on air seriously",sent,joy
user_432,"To be honest, Walking truly on air for real",sent,joy
user_433,"You know what, Walking very on air for real",sent,joy
user_434,"I just want to say, Walking truly on air!",sent,joy
user_435,"Listen, Walking on extremely air!!",sent,joy
user_436,"Hey, Walking on air today",sent,joy
user_437,"Honestly, Walking totally on air!!",sent,joy
user_438,"I just want to say, Walking on air at the moment",sent,joy
user_439,"Honestly, Walking very on air seriously",sent,joy
user_440,Grinning like a fool,sent,joy
user_441,"To be honest, Grinning so like a fool!",sent,joy
user_442,"Hey, Grinning like a fool...",sent,joy
user_443,"Hey, Grinning like a fool today",sent,joy
user_444,Grinning like a fool seriously,sent,joy
user_445,"Just so you know, Grinning like a fool right now",sent,joy
user_446,"Hey, Grinning like a fool",sent,joy
user_447,"I have to tell you, Grinning utterly like a fool today",sent,joy
user_448,"I have to tell you, Grinning like a fool for real",sent,joy
user_449,"Honestly, Grinning like a so fool seriously",sent,joy
user_450,"Honestly, Grinning like a fool",sent,joy
user_451,Best feeling ever,sent,joy
user_452,"I just want to say, Best feeling ever honestly",sent,joy
user_453,"You know what, Best absolutely feeling ever seriously",sent,joy
user_454,"Honestly, Best feeling ever right now",sent,joy
user_455,"To be honest, Best very feeling ever today",sent,joy
user_456,"I have to tell you, Best feeling ever",sent,joy
user_457,"To be honest, Best feeling totally ever at the moment",sent,joy
user_458,"To be honest, Best feeling ever seriously",sent,joy
user_459,"Honestly, Best feeling completely ever today",sent,joy
user_460,"Hey, Best feeling ever at the moment",sent,joy
user_461,Best feeling utterly ever seriously,sent,joy
user_462,Overflowing with joy,sent,joy
user_463,"Listen, Overflowing with joy today",sent,joy
user_464,"You know what, Overflowing so with joy for real",sent,joy
user_465,Overflowing with joy...,sent,joy
user_466,"Just so you know, Overflowing with joy!",sent,joy
user_467,"Listen, Overflowing with joy today",sent,joy
user_468,Overflowing with joy!!,sent,joy
user_469,"Honestly, Overflowing with joy today",sent,joy
user_470,"You know what, Overflowing with joy for real",sent,joy
user_471,"I just want to say, Overflowing with joy at the moment",sent,joy
user_472,"I just want to say, Overflowing totally with joy right now",sent,joy
user_473,Happiest moment of my life,sent,joy
user_474,Happiest moment of my life...,sent,joy
user_475,"You know what, Happiest extremely moment of my life for real",sent,joy
user_476,"Just so you know, Happiest moment completely of my life for real",sent,joy
user_477,"Just so you know, Happiest moment absolutely of my life seriously",sent,joy
user_478,"Hey, Happiest moment of my life seriously",sent,joy
user_479,"You know what, Happiest moment of my life!!",sent,joy
user_480,"I have to tell you, Happiest incredibly moment of my life honestly",sent,joy
user_481,"I have to tell you, Happiest moment of so my life...",sent,joy
user_482,"Just so you know, Happiest moment of my life honestly",sent,joy
user_483,"I just want to say, Happiest moment of my life for real",sent,joy
user_484,This is magical,sent,joy
user_485,"I just want to say, This is magical for real",sent,joy
user_486,"Honestly, This is magical...",sent,joy
user_487,"Honestly, This is totally magical seriously",sent,joy
user_488,"I have to tell you, This is extremely magical!",sent,joy
user_489,"I just want to say, This is magical honestly",sent,joy
user_490,"Just so you know, This completely is magical!!",sent,joy
user_491,"You know what, This is magical seriously",sent,joy
user_492,"Honestly, This is magical honestly",sent,joy
user_493,"To be honest, This absolutely is magical!",sent,joy
user_494,"Listen, This utterly is magical!",sent,joy
user_495,Feeling alive,sent,joy
user_496,Feeling alive!,sent,joy
user_497,"Honestly, Feeling alive honestly",sent,joy
user_498,Feeling alive at the moment,sent,joy
user_499,"Hey, Feeling alive...",sent,joy
user_500,"I have to tell you, Feeling alive right now",sent,joy
user_501,"Honestly, Feeling alive today",sent,joy
user_502,"I just want to say, Feeling alive seriously",sent,joy
user_503,"You know what, Feeling alive!",sent,joy
user_504,"You know what, Feeling alive!!",sent,joy
user_505,Feeling alive today,sent,joy
user_506,Pure euphoria,sent,joy
user_507,"To be honest, Pure euphoria...",sent,joy
user_508,"I just want to say, Pure euphoria right now",sent,joy
user_509,"I have to tell you, Pure euphoria!!",sent,joy
user_510,"You know what, Pure euphoria",sent,joy
user_511,"To be honest, Pure euphoria!",sent,joy
user_512,"I just want to say, Pure euphoria!",sent,joy
user_513,"I just want to say, Pure euphoria seriously",sent,joy
user_514,"Listen, Pure euphoria!",sent,joy
user_515,"Listen, Pure euphoria today",sent,joy
user_516,Pure euphoria today,sent,joy
user_517,Absolute delight,sent,joy
user_518,"You know what, Absolute delight!",sent,joy
user_519,"To be honest, Absolute delight honestly",sent,joy
user_520,"I just want to say, Absolute delight for real",sent,joy
user_521,"To be honest, Absolute delight right now",sent,joy
user_522,"Listen, Absolute delight...",sent,joy
user_523,Absolute delight right now,sent,joy
user_524,"I just want to say, Absolute delight seriously",sent,joy
user_525,"Listen, Absolute delight",sent,joy
user_526,"Just so you know, Absolute delight seriously",sent,joy
user_527,"You know what, Absolute delight seriously",sent,joy
user_528,I love everything about this,sent,joy
user_529,"I just want to say, I utterly love everything about this honestly",sent,joy
user_530,"Hey, I love everything about this...",sent,joy
user_531,"I have to tell you, I love everything about this!",sent,joy
user_532,"To be honest, I love everything about this!",sent,joy
user_533,I love everything about this for real,sent,joy
user_534,"To be honest, I love everything about incredibly this!!",sent,joy
user_535,"I just want to say, I love extremely everything about this honestly",sent,joy
user_536,"Hey, I love everything about this",sent,joy
user_537,"To be honest, I love everything so about this today",sent,joy
